,Cuisine
Afghan,1
American,13
"American, American Contemporary",3
"American, Bakery",2
"American, Californian",2
"American, Chinese",1
"American, Classic Cuisine",1
"American, Contemporary",2
"American, Italian",1
"American, Italian-American",1
"American, Southern",2
Asian,4
"Asian, Contemporary",2
"Asian, French",2
"Asian, Sichuan",1
"Asian, South East Asian",1
"Asian, Taiwanese",1
Austrian,1
"Austrian, Contemporary",2
Barbecue,6
"Barbecue, American",1
"Barbecue, Regional Cuisine",1
"Brazilian, Regional Cuisine",1
Burmese,4
Californian,9
"Californian, American",1
"Californian, Contemporary",4
"Californian, Italian Contemporary",1
"Californian, Market Cuisine",1
"Californian, Mediterranean Cuisine",1
"Californian, Vegetarian",1
"Cambodian, Contemporary",1
"Caribbean, Regional Cuisine",1
Central Asian,2
Chinese,5
"Chinese, Beijing Cuisine",1
"Chinese, Cantonese",3
"Chinese, Contemporary",6
"Chinese, Dim Sum",8
"Chinese, Duck Specialities",2
"Chinese, Dumplings",5
"Chinese, Hunanese",2
"Chinese, Noodles",1
"Chinese, Regional Cuisine",3
"Chinese, Shanghainese",3
"Chinese, Sichuan",23
"Chinese, Taiwanese",2
"Colombian, Contemporary",1
Contemporary,42
"Contemporary, Alsatian",2
"Contemporary, American",15
"Contemporary, American Contemporary",14
"Contemporary, Asian",1
"Contemporary, Bakery",1
"Contemporary, Californian",10
"Contemporary, Creative",5
"Contemporary, English",2
"Contemporary, European Contemporary",1
"Contemporary, French",4
"Contemporary, French Contemporary",4
"Contemporary, Fusion",1
"Contemporary, Innovative",3
"Contemporary, International",1
"Contemporary, Italian",2
"Contemporary, Japanese Contemporary",1
"Contemporary, Modern Cuisine",6
"Contemporary, Modern French",2
"Contemporary, Seafood",3
"Croatian, Seafood",1
Czech,2
Deli,6
"Deli, American",1
Ethiopian,1
"Ethiopian, Regional Cuisine",3
"European, French",1
"Filipino, Asian",2
"Filipino, Contemporary",2
French,6
"French, Californian",1
"French, Classic French",3
"French, Contemporary",7
"French, Country cooking",2
Fusion,2
"Fusion, Asian",3
"Fusion, Chinese",1
"Fusion, Contemporary",1
Gastropub,3
"Gastropub, American Contemporary",1
"Gastropub, Bavarian",1
"Gastropub, English",1
Greek,2
"Greek, Regional Cuisine",1
Indian,4
"Indian, Contemporary",5
"Indian, Gastropub",1
"Indian, Nepali",1
"Indonesian, Thai and Vietnamese",1
International,1
"International, American",1
"International, Asian",1
"International, Fusion",2
Italian,27
"Italian, American",4
"Italian, Californian",5
"Italian, Campanian",2
"Italian, Contemporary",9
"Italian, Emilian",3
"Italian, Italian-American",13
"Italian, Milanese",1
"Italian, Pizza",1
"Italian, Regional Cuisine",5
"Italian, Sardinian",2
"Italian, Sicilian",2
"Italian, Tuscan",1
Japanese,3
"Japanese, Classic Cuisine",2
"Japanese, Contemporary",4
"Japanese, Creative",2
"Japanese, Izakaya",4
"Japanese, Noodles",2
"Japanese, Ramen",8
"Japanese, Seafood",1
"Japanese, Seasonal Cuisine",3
"Japanese, Soba",2
"Japanese, Sushi",44
"Japanese, Tempura",2
"Japanese, Traditional Cuisine",1
"Japanese, Udon",2
"Japanese, Vegan",2
Korean,7
"Korean, American",3
"Korean, Barbecue",3
"Korean, Contemporary",7
"Korean, Duck Specialities",1
"Korean, Korean Contemporary",4
"Korean, Steakhouse",2
"Korean, Vegetarian",2
Lao,3
Latin American,1
"Latin American, Fusion",2
Malaysian,5
Mediterranean Cuisine,5
"Mediterranean Cuisine, American Contemporary",4
"Mediterranean Cuisine, Middle Eastern",2
Mexican,30
"Mexican, Californian",1
"Mexican, Contemporary",10
"Mexican, Regional Cuisine",25
"Mexican, Seafood",2
"Mexican, Tex-Mex",1
Middle Eastern,8
"Middle Eastern, Vegetarian",2
"Moroccan, Contemporary",1
"Moroccan, North African",1
"Pakistani, Regional Cuisine",1
Peruvian,2
"Peruvian, Chicken Specialities",2
"Peruvian, Latin American",3
"Peruvian, South American",1
Pizza,11
"Pizza, American",1
"Pizza, Californian",1
"Pizza, Italian",7
"Pizza, Italian-American",1
"Polish, Dumplings",2
"Portuguese, Californian",1
"Portuguese, Seafood",1
Scandinavian,2
"Scandinavian, Contemporary",4
Seafood,13
"Seafood, American",1
"Seafood, Italian",2
"Seafood, Italian-American",1
"Seafood, Mexican",2
"South East Asian, Lao",1
Southern,1
"Southern, American",2
"Southern, Creole",3
"Southern, Regional Cuisine",2
Spanish,5
"Spanish, Basque",1
"Spanish, Contemporary",3
"Spanish, Spanish Contemporary",1
Sri Lankan,2
"Sri Lankan, Contemporary",1
Steakhouse,1
"Steakhouse, American",3
Taiwanese,1
Thai,16
"Thai, Californian",1
"Thai, Contemporary",2
"Thai, Fusion",2
Tibetan,2
Turkish,1
"Turkish, Regional Cuisine",4
Vegan,3
"Vegan, Mexican",1
Vietnamese,3
"Vietnamese, Contemporary",3
"Vietnamese, Modern Cuisine",2
"Vietnamese, Noodles",1
"Vietnamese, South East Asian",1
